Km,Owner Type,Seats,No Of Cylinder,Max Power Delivered,Max Torque Delivered,Listed Price,Car Age,Usage Type,Car Size,Is Turbo,Is Advanced Engine,City Freq,Brand Category_Commercial,Brand Category_Luxury,Brand Category_Mid,Brand Category_Other,Brand Category_Premium,Brand Category_Ultra_Luxury,Fuel_diesel,Fuel_electric,Fuel_lpg,Fuel_petrol,Car Segment_Other,Car Segment_SUV,Car Segment_Sedan,Transmission_manual,Drive Type_4wd,Drive Type_4x2,Drive Type_awd,Drive Type_fwd,Drive Type_rwd,Gear Type_CVT,Gear Type_Direct,Gear Type_Manual
69162.0,1.0,5,3,58.16,77.0,370000,10,1.0,9.1468585,0,0,920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
45864.0,1.0,5,3,58.2,78.0,365000,11,1.0,8.9856,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
81506.0,2.0,5,4,86.7,109.0,421000,11,2.0,10.088316,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
115893.0,2.0,5,3,58.2,77.0,240000,13,2.0,9.0144625,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18900.0,1.0,7,4,86.63,121.5,1175000,4,0.0,12.88679925,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60000.0,1.0,5,3,58.16,77.0,250000,14,1.0,9.1468585,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67000.0,1.0,5,3,38.4,62.0,145000,16,1.0,7.5264825,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58000.0,1.0,5,4,65.39,98.0,465000,9,1.0,9.499848,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54097.0,1.0,5,3,58.33,78.0,560000,5,1.0,9.9178425,0,0,3235,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67000.0,2.0,5,3,58.16,77.0,215000,15,1.0,9.1468585,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
98083.0,1.0,5,3,58.33,78.0,425000,8,2.0,9.22272,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
80000.0,1.0,5,3,58.33,78.0,380000,7,2.0,9.22272,0,0,192,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
39000.0,1.0,7,4,80.46,112.0,795000,9,1.0,12.2696982,0,0,2856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34889.0,1.0,5,3,58.16,77.0,350000,12,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31758.0,1.0,5,3,58.33,78.0,650000,4,1.0,9.9178425,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23000.0,1.0,5,3,58.16,77.0,599000,5,1.0,9.1468585,0,0,940,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60000.0,2.0,5,4,82.0,114.0,425000,12,1.0,9.499848,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
43413.0,2.0,5,3,58.16,77.0,317736,10,1.0,9.1468585,0,0,4969,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60000.0,1.0,7,4,91.18,122.0,1000000,6,1.0,12.88679925,0,0,4881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67720.0,3.0,5,3,58.2,78.0,317400,12,1.0,8.9856,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
99821.0,1.0,5,3,58.16,77.0,250000,13,2.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
67477.0,2.0,5,3,58.16,77.0,380000,12,1.0,9.1468585,0,0,4821,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24158.0,1.0,5,3,58.33,78.0,600000,5,1.0,9.9178425,0,0,920,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
